name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
new york city,2023-03-06,12.1,4.4,8.2,12.1,1.3,7.1,-5,41.1,0,0,0,,0,0,73.1,18.1,290.9,1018.7,19.4,16,177.3,15.3,6,10,2023-03-06T06:22:29,2023-03-06T17:52:47,0.47,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2023-03-07,9.3,1.1,4.8,7.9,-2.1,2.7,-5.5,51.2,1.482,100,25,"rain,snow",2,0.5,63.5,24,307.2,1011.2,66.7,15.5,199.2,17.3,8,10,2023-03-07T06:20:54,2023-03-07T17:53:54,0.5,"Snow, Rain, Partially cloudy",Clearing in the afternoon with a chance of rain or snow throughout the day.,snow,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2023-03-08,9.3,0,4.3,8.7,-3.3,2.3,-5,51.3,0,0,0,,0,0,60.9,15.4,326.4,1020.5,17.4,16,213,18.3,8,10,2023-03-08T06:19:18,2023-03-08T17:55:01,0.54,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
new york city,2023-03-09,12.1,1.3,5.9,12.1,-3.2,4.2,-3.2,53.2,0.469,100,4.17,rain,0,0,59.2,20.1,5.3,1021.7,14.3,16,218.5,18.8,8,10,2023-03-09T06:17:42,2023-03-09T17:56:07,0.58,Rain,Clear conditions throughout the day with morning rain.,rain,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
new york city,2023-03-10,7.2,3.3,5.2,7.2,-0.8,2.8,-0.4,67.7,0.451,100,16.67,rain,0,0,66.6,17.7,62.3,1015,62.4,15.8,79.1,6.7,4,10,2023-03-10T06:16:05,2023-03-10T17:57:13,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
new york city,2023-03-11,7.1,2.8,4.9,5.3,-0.2,2.3,1.5,80.3,0.692,100,45.83,rain,0,0,44.3,18.6,26.5,1008.3,97,15.7,64.7,5.7,4,10,2023-03-11T06:14:28,2023-03-11T17:58:19,0.65,"Rain, Overcast",Cloudy skies throughout the day with rain clearing later.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2023-03-12,8.3,1.7,4.8,7.1,-1,2.6,-2.5,60.5,0,0,0,,0,0,50,14.4,85.7,1016.7,12.9,16,155.2,12.9,5,10,2023-03-12T07:12:51,2023-03-12T18:59:24,0.68,Clear,Clear conditions throughout the day.,clear-day,"72505394728,72055399999,KLGA,KJRB,F8726,KNYC,F1417,72503014732"
new york city,2023-03-13,6.8,3.9,5.2,4.6,0.8,2.4,2.9,85.2,10.958,100,70.83,rain,0,0,42.5,24.2,63.7,1012,100,9,35.3,2.9,1,10,2023-03-13T07:11:13,2023-03-13T19:00:30,0.72,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"72505394728,72055399999,KLGA,KJRB,KNYC,F1417,72503014732"
new york city,2023-03-14,3.9,1,2.1,3.9,-4.3,-2.5,-1.4,78.3,8.825,100,37.5,"rain,snow",1.5,0,53.2,31.4,286.5,1000.7,97.8,10.1,56.7,4.8,3,10,2023-03-14T07:09:35,2023-03-14T19:01:35,0.75,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"72505394728,KLGA,F8726,KNYC,F1417,72503014732"
new york city,2023-03-15,6.8,1.3,3.6,2.8,-4.7,-1.5,-6.7,47.8,0,0,0,,0,0,64.3,36,301.8,1008.8,27.3,16,215,18.7,8,10,2023-03-15T07:07:57,2023-03-15T19:02:40,0.79,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"72505394728,KLGA,F8726,KNYC,F1417,72503014732"
